Object,Category,Spec Type,R band (mag),Distance (pc),Disk Major Axis &quot;,Disk Diameter (AU),Inclination (degrees),Resolution elements across,At ref. wavelength (microns)
2MASSI J1628137-243139,TT,,17.7,140,4.3,602,86,10.8,2.1
49 Cet,Debris,A1,5.6,61,4.5,274.5,,4.1,1300.39
61 Vir,Debris,G7V,4.2,8.5,22,,77,3.7,70
99 Her,Debris,F7+K4,4.7,15.6,15.4,240.2,50,2.8,70
[MR81] H alpha 17 NE,TT,M2e,16.9,130,0.38,49.4,20,2.9,2.2
AA Tau,TT,M0,11.8,140,1.34,187.6,75,1,2000
AB Aur,Hae,A0e,7.1,144,18,2592,22,367.4,0.57
alpha CrB,Debris,A0 V,2.2,23,4,92,80,0.7,11.2
AS 205A,TT,K0,11.9,125,0.4,50,25,0.7,880
AS 209,TT,K5,10.4,125,2.02,252.5,38,2.9,880
ASR 41,TT,,,316,20,6320,80,97,2.2
AU Mic,Debris,M1,8.9,9.94,29.25,290.7,90,567.2,0.6
beta Leo,Debris,A3V,2,11.1,7.1,78.8,30,1.2,100
beta Pic,Debris,A5,3.9,19.3,26,501.8,90,504.2,0.6
beta Tri,giant,A5 III,2.9,38.9,5.6,218,41,,70
beta UMa,Debris,A1V,2.3,24.3,3.8,92.34,84,0.7,100
BP Psc,TT,,12.2,100,1.2,,75,40,1.6
BP Tau,TT,K7,11.1,140,1.5,210,30,1.5,1300.39
CAHA J23056+6016,YSO?,,,3500,3,10500,10,74.5,1.6
CB 26,YSO,,,140,5.5,770,88,42.4,2.2
CI Tau,TT,K7,12.3,140,1.7,238,46,1,880
CoKu Tau 1,TT,M0,16.8,140,6.4,896,,46.5,1.6
CQ Tau,TT,F2,8.9,100,2.9,290,33,2.5,20.5
CRBR 2422.8-3423,YSO,,,125,1.5,187.5,70,4.3,2.2
CY Tau,TT,M1,12.5,140,3.8,532,30,2.5,1300.39
DG Tau,TT,K6,11.4,140,0.4,56,31,2.7,2800
DG Tau B,TT,,,140,3.93,550.2,75,28.6,1.6
DL Tau,TT,K7,11.8,140,7.4,1036,35,5.7,1300.39
DM Tau,TT,M1,12.1,140,11.4,1596,32,17,1300.39
DN Tau,TT,M0,11.5,140,0.5,70,77,0.5,2000
DO Tau,TT,M0,12.3,140,5.1,714,42,1.6,1300.39
DoAr 25,TT,K7,12.7,125,1.28,160,63,0.7,880
DoAr 44,TT,K5,11.7,125,1.28,160,35,1.8,880
DQ Tau,TT,M0 V,13.2,140,0.24,33.6,35,0.4,1300
DR Tau,TT,K4,13.6,140,0.6,84,67,0.5,2000
Elias 2-24,TT,K5.5,15.8,125,2.03,253.8,24,3.1,880
epsilon Eri,Debris,K2,3.8,3.22,66,212.5,25,5.6,850
eta Crv,Debris,F2 V,4.4,18.2,11.3,205.7,45,1,850
FN Tau,TT,M5,13.7,140,1.8,252,0,44.7,1.6
Fomalhaut,Debris,A3,1.2,7.2,41,295.2,66,795.1,0.6
FT Tau,TT,,13.2,140,0.43,60.2,43,0.8,1300
gamma Dor,Debris,F1,4,20.5,12,246,69,,70
gamma Oph,Debris,A0,3.7,29.1,36,1047.6,50,2.1,70
gamma Tri,Debris,A1V,3.9,34.4,8,275,83,,70
GG Tau,TT,K7,10.8,140,8.6,800,37,9.8,1360.22
GJ 581,Debris,M3,9.5,6.4,19,122,59,,70
GM Aur,TT,K7,11.2,140,5,700,54,52.9,1.1
GO Tau,TT,K5,13.6,140,2,280,66,1,1330
GSS 39,YSO,M0,,125,3.17,396.3,60,4,880
Haro 6-13,YSO,M0,15,140,2.57,359.8,40,1.8,1300
Haro 6-5B,YSO,K5,13.6,140,4,560,77,29.1,1.6
HD 100546,Hae,B9,6.7,103,7,721,51,50.9,1.6
HD 10647,Debris,F8 V,5.5,17.35,37,642,52,2.5,870
HD 107146,Debris,G2,11.3,28.5,14,399,25,271.5,0.6
HD 135344B,Hae,F4Ve,8.7,140,1.15,161,20,11.6,1.15
HD 139664,Debris,F5 IV-V,4.7,17.5,12,210,87,232.7,0.6
HD 141569A,Trans,B9.5,7.1,99,7.5,742.5,51,79.3,1.1
HD 142527,Hae,F6,8.4,140,7,980,30,168.7,1.65
HD 150193A,Hae,A2 IV,8.9,150,2.6,390,38,64.6,1.6
HD 15115,Debris,F2,6.8,45,19.38,872.1,90,372.1,0.61
HD 15745,Debris,F2,7.5,64,7.5,480,67,147.7,0.59
