OAO,,,,,,,,,,,,,,,
EPIC,RA,DEC,T0 (-2454900),T0,Period [d],MidpointCalendar(UST),Duration (hour),MidpointJD,MidpointAirmass,IngressCalendar(JST),MidpointCalendar(JST),EgressCalendar(JST),Notes,Kepmag,depth
211924657,08:40:06.43,19:05:34.36,2242.003445,2457142.003,2.6442718,12/27/2017 14:16:00,1.3,2458115.095,1.38,12/27/2017 22:37:00,12/27/2017 23:16:00,12/27/2017 23:55:00,1.43 Re around M3V!,15.031,0.0032
211490999,8:43:12,13:00:35,2246.324732,2457146.325,9.8444307,12/23/2017 13:54:00,3.4213613,2458111.079,1.75,12/23/2017 21:11:22,12/23/2017 22:54:00,12/24/2017 0:36:38,,13.416,0.0013136
211915147,8:39:09.3,18:57:06.72,2240.385129,2457140.385,1.8108536,12/21/2017 16:36:00,2.3011603,2458109.192,1.07,12/22/2017 0:26:58,12/22/2017 1:36:00,12/22/2017 2:45:02,,9.023,0.032651
211919004,08:39:09.3,18:57:06.72,2249.089004,2457149.089,11.7200014,12/22/2017 15:05:00,4.3389046,2458110.129,1.26,12/22/2017 21:54:50,12/23/2017 0:05:00,12/23/2017 2:15:10,,13.131,0.0010012
212099230,8:32:18,+22:00:21.64,2241.960616,2457141.961,7.1125241,12/21/2017 18:20:00,2.79,2458109.264,1.04,12/22/2017 1:56:18,12/22/2017 3:20:00,12/22/2017 4:43:42,,10.513,0.0011
212164470,08:39:15.27,23:21:26.93,2240.487721,2457140.488,1.7428937,12/23/2017 18:42:00,2.1341569,2458111.28,1.05,12/24/2017 2:37:59,12/24/2017 3:42:00,12/24/2017 4:46:01,,12.704,0.0001578
Teide,,,,,,,,,,,,,,,
EPIC,RA,DEC,T0 (-2454900),T0,Period [d],Period unc.,Duration (hour),MidpointJD,MidpointAirmass,IngressCalendar(UST),MidpointCalendar(UST),EgressCalendar(UST),Notes,Kepmag,depth
211413752b,8:54:50,11:50:54,2241.511433,2457141.511,2.1510806,,2.2180943,2458137.461,1.43,1/18/2018 21:57:27,1/18/2018 23:04:00,1/19/2018 0:10:33,1.63 Re (inner) around solar-type star,13.539,0.0008723
,,,,,,,,2458139.612,1.06,1/21/2018 1:34:27,1/21/2018 2:41:00,1/21/2018 3:47:33,,,
