EPIC,SNR,V mag,Teff,Rstar,Mstar,Source,RA,DEC,t0 (-2454900),Period [d],Depth (absol),Durat. [hr],Rp,Mp (R<4),Mp (R>4),K value,Target #,Program,AO (lucky) observations,Activity amplitude %,Rotation period (day),Expected K from stellar variability (m/s),sigma_PFS (m/s),N_mea_needed,Comment,RAh,RAm,RAs,,,Decdeg,Decmin,Decsec,
211309274,8.31,14.81,3551,0.5,0.51,Colors-Mamajek,130.223419,10.037269,2259.36888,20.3634179,0.0025353,1.4833576,2.75,6.9,4.71,2.39,,,,0.005,61,2.072876493,8.09,12.2,"really low SNR, GO proposal thinks its giant, but TESS thinks its a dwarf",8,40,53.62,,+,10,28,8.87,
211331236b,14.79,14.655,3514,0.49,0.49,Colors-Mamajek,133.855682,10.469131,2240.190847,1.2916824,0.001335,1.0228443,1.96,5.02,1.7,4.46,,,,0.006,9.4,15.8191349,7.85,15.7,"low SNR, GO proposal thinks its giant, but TESS thinks its a dwarf",8,55,25.36,,+,10,28,8.87,
211331236c,7.81,14.655,3514,0.49,0.49,Colors-Mamajek,133.855682,10.469131,2243.575527,5.443246,0.0012987,2.3317935,1.93,4.96,1.63,2.72,,,,0.006,9.4,15.8191349,7.85,42.03,"low SNR, GO proposal thinks its giant, but TESS thinks its a dwarf",8,55,25.36,,+,10,50,51.31,
211351816,8.5,12.61,4673,0.71,0.75,Colors-Mamajek,127.762833,10.847586,2242.030074,8.4103475,0.0005503,5.9553746,1.82,4.7,1.36,1.8,,,,0.003,not detected,0,4.58,6.44,"low SNR, possible odd/even difference, star is a giant",8,31,3.08,,+,10,54,10.4,
211354933,7.49,11.31,6637,2.07,2.67,Colors-Mamajek,127.613846,10.902888,2244.35002,9.1026122,0.0001964,7.1744413,3.17,7.87,7.21,1.56,,,,0.002,not detected,0,2.49,2.55,"bright star but the transit is low SNR, need better light curve. TTV?",8,30,27.32,,+,10,54,37.06,
211355342,10.54,12.75,5536,0.89,0.98,Colors-Mamajek,127.554031,10.910294,2243.809837,6.8926712,0.0005944,1.7668505,2.37,6.01,3.02,2.16,,,,0.007,not detected,0,4.8,4.95,low snr but nothing wrong,8,30,12.97,,+,10,58,58.59,
211359660,15.35,12,5121,0.76,0.8,Colors-TESS,130.180327,10.982941,2241.205614,4.7369913,0.0015,2.41,3.21,7.96,7.5,3.59,23.01,,"H.D. Second star at 55pix *0.042"" = 2.3"" to the North with ~25x less flux or 3.5mag fainter. Does not show up in DSS",0.003,25,4.612730601,3.6,2.66,Great candidate,8,40,43.28,,+,11,30,40.12,
211391664,14.1,12.17,6159,1.04,1.1,Colors-TESS,126.488289,11.511145,2245.985965,10.1342604,0.001,4.02,3.51,8.64,9.77,2.58,9.01,,,0.0018,not detected,0,3.87,2.26,"no odd/even nor secondary eclipse, great candidate",8,25,57.19,,+,11,37,50.62,
211399359,16.5,14.64,4962,0.74,0.78,Colors-TESS,128.067142,11.630727,2241.416946,3.1149427,0.0259,1.36,13.03,29.28,499.9,262.17,8.01,,,0.017,10,63.62735852,7.82,0.06,"inflated hot jupiter, but no odd/even nor secondary eclipse, the star is likely a giant proposed by galactic archaeology people",8,32,16.11,,+,11,50,53.75,
211413752b,8.16,13.853,4991,0.75,0.81,Colors-Mamajek,133.709549,11.848265,2241.511433,2.1510806,0.0003961,2.2180943,1.63,4.24,0.98,2.47,,,,0.002,26.9,2.820344968,6.56,8.37,"really low SNR, and the star is catalogued as a giant",8,54,50.29,,+,11,50,53.75,
211413752c,11.9,13.853,4991,0.75,0.81,Colors-Mamajek,133.709549,11.848265,2240.855114,9.3249994,0.0008723,2.7754585,2.42,6.12,3.21,2.19,,,,0.002,26.9,2.820344968,6.56,10.68,"really low SNR, and the star is catalogued as a giant",8,54,50.29,,+,11,52,25.95,
211415433,6.63,12.97,5680,0.91,1.02,Colors-Mamajek,127.631737,11.873876,2260.362492,47.1391674,0.0005536,3.3534804,2.34,5.93,2.9,1.1,,,,0.0038,not detected,0,5.15,21.96,really low SNR ,8,30,31.62,,+,11,55,20.15,
211418729,13.69,14.556,4955,0.75,0.8,Colors-Mamajek,127.882965,11.922265,2240.325833,11.3904682,0.0138601,3.4599272,9.65,22.15,203.33,68.35,,,,0.009199,not detected,0,7.69,0.01,"good candidate no odd/even, no secondary",8,31,31.91,,+,12,4,33.04,
211428897b,11.52,14.09,3309,0.39,0.38,Colors-Mamajek,128.857544,12.075844,2240.659913,1.6111391,0.0008471,0.9642893,1.24,2.27,0.43,2.12,,,,0.003,not detected,0,6.95,10.75,decent target but faint,8,35,25.81,,+,12,7,40.51,
211432167,14.6,8.9,6464,1.17,1.22,Colors-TESS,132.863806,12.127919,2236.112337,5.8177024,0.0118,2.9,13.87,31.04,603.49,205.5,7.01,,,0.0027,46,3.473401976,2,0,"HD 75638,  a known spectroscopic binary, with the same period we detected. . Visible secondary eclipse. No ETVs with Vincent's light curve",8,51,27.31,,+,12,16,54.97,
211442297,10.18,13.362,5648,0.93,1.04,Colors-Mamajek,126.553444,12.281936,2257.15737,20.2726935,0.0176107,3.1747334,13.49,30.24,555.23,135.07,,,,0.009,not detected,0,5.78,0,"no odd/even, no secondary",8,26,12.83,,+,13,0,34.53,
211490999,15.13,13.604,5522,0.88,0.98,Colors-Mamajek,130.798843,13.009593,2246.324732,9.8444307,0.0013136,3.4213613,3.49,8.59,9.58,2.74,,,,0.0009,not detected,0,6.17,5.07,"slight odd/even, no secondary",8,43,11.72,,+,13,5,37.03,
211496731,7.24,11.58,4662,5,1,Colors-TESS,124.895869,13.093619,2250.807232,45.0562698,0.0015,6.04,21.34,46.33,2198.1,417.89,22.01,,,0.0014,not detected,0,2.93,0,"Giant star, secondary eclipse observations, very long period. Likely binary. ",8,19,35.01,,+,13,12,38.53,
211505089,8.01,13.27,4576,0.69,0.74,Colors-Mamajek,123.250542,13.210702,2246.967076,24.4382023,0.000727,5.3870679,2.03,5.2,1.9,1.41,,,,0.0051,43.2,4.120014769,5.63,24.46,"low SNR, GO proposal thinks its giant, but TESS thinks its a dwarf",8,13,0.13,,+,13,16,25.94,
211509553,14.56,16.578,3539,0.5,0.5,Colors-Mamajek,135.01976,13.273871,2251.413873,20.3586336,0.0330576,2.5351314,9.94,22.76,221.91,77.75,,,,0.0082,not detected,0,10.92,0.02,"big planet, no odd/even, no secondary and there is one spot crossing event",9,0,4.74,,+,13,29,51.11,
211525389,14.3,11.92,5410,0.81,0.87,Colors-TESS,125.420277,13.49753,2239.723162,8.2672478,0.0014,3.36,3.36,8.3,8.57,2.98,6.01,,,0.0043,24,7.340159304,3.47,7.44,"great candidate, low SNR TTV worth checking in detail",8,21,40.87,,+,13,32,59.4,
211529065,10.56,13.782,4808,0.73,0.78,Colors-Mamajek,131.266602,13.549833,2242.974807,4.4000743,0.0012104,1.5209201,2.78,6.95,4.84,3.25,,,,0.009,18.1,18.35904336,6.45,35.86,"good candidate no odd/even, no secondary, maybe TTVs but the light curve quality needs some revision",8,45,3.98,,+,13,39,55.39,
211537406,8.41,15.013,4379,5,1,Colors-Mamajek,135.605698,13.665386,2255.341522,19.4363824,0.0011185,4.5872482,18.28,40.12,1381.1,347.49,,,,0.005,31.7,39.88815964,8.42,0.01,low snr and the star is a giant,9,2,25.37,,+,14,1,10.06,
211562654,9.21,12.85,5400,0.81,0.87,Colors-TESS,125.00716,14.019461,2247.781639,10.7904202,0.0007,3.62,2.33,5.9,2.85,1.94,26.01,,,0.0065,not detected,0,4.96,6.56,"Great target, a bit low SNR",8,20,1.72,,+,14,15,31.2,
211579683,9.41,14.3,4786,0.72,0.77,Colors-Mamajek,125.214546,14.258666,2244.61437,9.0068223,0.000654,3.8830591,2.01,5.16,1.84,1.91,,,,0.012,21.3,20.5162221,7.27,129.87,"really low SNR, and the star is catalogued as a giant",8,20,51.49,,+,14,37,51.18,
211606790,11.62,12.246,5383,0.84,0.92,Colors-Mamajek,137.14444,14.630882,2250.089959,37.2481534,0.0068894,3.1765529,7.62,17.78,100.11,21.14,,,,0.0043,not detected,0,3.99,0.04,"V-shaped transit with long transit duration, also hints of secondary",9,8,34.67,,+,14,52,12.1,
211623903,19.46,15.055,4777,5,1,Colors-Mamajek,123.100151,14.870029,2239.864047,0.807797,0.0245702,0.8646156,85.66,168.75,142194.68,103273.48,,,,0.0488,not detected,0,8.49,0,"star is a giant, likely binary detection of both odd/even and secondary and deep transit",8,12,24.04,,+,16,5,27.41,
211713099,15,13.83,5601,0.85,0.92,Colors-TESS,125.223881,16.090947,2241.150674,8.5624906,0.0045,2.97,6.22,14.73,54.52,18.79,5.01,,,0.0036,56.9,2.720021976,6.53,0.14,"great candidate, spot crossing event at epoch 7",8,20,53.73,,+,16,25,10.59,
211736671,14.13,12.31,5504,0.82,0.88,Colors-TESS,123.381875,16.419609,2240.363374,4.7338086,0.0008,3.13,2.56,6.45,3.8,2.77,4.01,,,0.0019,not detected,0,4.1,2.19,"Small odd/even difference, but flat bottom transit, worth checking",8,13,31.65,,+,16,54,10.82,
211770867,11.62,12.29,5980,0.96,1.04,Colors-TESS,123.022652,16.903006,2247.870255,27.6959476,0.0205,5.77,15.02,33.43,766.67,168.09,3.01,,Binary (m2=0.68 Msun),0.0033,not detected,0,4.06,0,"Interesting planet, with long duration (eccentricity?) and large size for a warm Jupiter",8,12,5.44,,+,17,19,11.4,Binary (m2=0.68 Msun)
211800191,16.79,12.62,5667,0.87,0.94,Colors-TESS,132.884782,17.319834,2239.642351,1.1061875,0.0011,0.97,3.17,7.86,7.19,5.3,2.01,,,0.0031,not detected,0,4.59,0.75,"maybe binary, vague odd/even variation, transit is V-shaped (as expected for short dur).",8,51,32.35,,+,17,19,11.4,
211800191,16.79,12.62,5667,0.87,0.94,Colors-TESS,132.884782,17.319834,2239.642857,1.1061786,0.0012,0.9,3.36,8.3,8.58,5.6,10.01,,,0.003,31.6,4.177502106,4.59,1.23,"likely binary, small odd/even variation, transit is V-shaped.",8,51,32.35,,+,17,22,53.98,
211804579,13.05,11.38,5809,0.93,1.01,Colors-TESS,129.067776,17.381661,2239.678055,1.5233878,0.0052,2.42,7.32,17.13,88.66,51.86,11.01,,"¿Single? companion at 6.4"" at 354.6º N -> E",0.016,11,68.41849217,2.61,1.74,"V-shaped transit with 2.5 duration likely binary, 3.6 sigma odd/even variation, best-fit transit model show that it is binary, cluster member",8,36,16.27,,+,17,25,48.3,False-positive
211808055,11.84,13.67,5796,0.93,1.01,Colors-TESS,129.034461,17.430082,2242.616105,3.3816913,0.0044,5.17,6.72,15.82,68.68,30.8,12.01,,,0.002,not detected,0,6.27,0.04,"depth changing (not just odd/even), also hints of of TTV, no secondary; no changing depth in MAST light curve, probably binary",8,36,8.27,,+,17,32,32.8,
211816003,11.3,13.841,5391,0.84,0.92,Colors-Mamajek,132.621124,17.542444,2244.869923,14.4484423,0.0011276,3.4076801,3.08,7.66,6.63,2.22,,,,0.0096,not detected,0,6.55,8.7,"good candidate no odd/even, no secondary",8,50,29.07,,+,17,34,45.83,
