# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Dec 18 23:51:22 2017
#
# COLUMN UserName:       User Name
# COLUMN SourceTable:    Source Table
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,SourceTable,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,01/05/2018 16:35,2458124.19157,1.07
2,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,01/14/2018 11:48,2458132.99172,2.22
3,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,01/27/2018 16:36,2458146.19194,1.12
4,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,02/05/2018 11:48,2458154.99209,1.43
5,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,02/18/2018 16:36,2458168.19231,1.34
6,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,02/27/2018 11:49,2458176.99246,1.15
7,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,03/12/2018 16:37,2458190.19268,1.96
8,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,03/21/2018 11:49,2458198.99283,1.07
9,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,04/12/2018 11:50,2458220.99320,1.13
10,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,05/04/2018 11:50,2458242.99358,1.38
11,,,0.00,4.400074300,1.5209,,Transit Midpoint,0.000000,05/26/2018 11:51,2458264.99395,2.07
