# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 01:16:57 2017
#
# COLUMN UserName:       User Name
# COLUMN PlanetName:     Planet Name
# COLUMN SourceTable:    Source Table
# COLUMN RA_sex:         RA [sexagesimal]
# COLUMN Dec_sex:        Dec [sexagesimal]
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,PlanetName,SourceTable,RA_sex,Dec_sex,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,12/27/2017 14:16,2458115.09502,1.38
2,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,01/01/2018 21:12,2458120.38357,1.86
3,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,01/04/2018 12:40,2458123.02784,1.82
4,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,01/09/2018 19:35,2458128.31638,1.39
5,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,01/17/2018 17:58,2458136.24920,1.17
6,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,01/25/2018 16:22,2458144.18201,1.06
7,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,02/02/2018 14:45,2458152.11483,1.04
8,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,02/10/2018 13:08,2458160.04764,1.08
9,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,02/18/2018 11:31,2458167.98046,1.22
10,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,02/23/2018 18:27,2458173.26900,2.49
11,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,02/26/2018 09:55,2458175.91327,1.49
12,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,03/03/2018 16:50,2458181.20182,1.66
13,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,03/11/2018 15:13,2458189.13463,1.30
14,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,03/19/2018 13:37,2458197.06745,1.12
15,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,03/27/2018 12:00,2458205.00026,1.05
16,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,04/04/2018 10:23,2458212.93308,1.05
17,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,04/25/2018 14:05,2458234.08725,2.12
18,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,05/03/2018 12:28,2458242.02007,1.51
19,,Custom: EPIC211924657,,08h40m06.43s,19d05m34.37s,0.00,2.644271800,1.3000,,Transit Midpoint,0.000000,05/11/2018 10:52,2458249.95288,1.22
