# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 01:55:23 2017
#
# COLUMN UserName:       User Name
# COLUMN PlanetName:     Planet Name
# COLUMN SourceTable:    Source Table
# COLUMN RA_sex:         RA [sexagesimal]
# COLUMN Dec_sex:        Dec [sexagesimal]
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,PlanetName,SourceTable,RA_sex,Dec_sex,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/23/2017 18:42,2458111.27979,1.05
2,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/25/2017 12:32,2458113.02268,2.29
3,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/30/2017 18:01,2458118.25137,1.04
4,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/01/2018 11:51,2458119.99426,2.53
5,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/06/2018 17:21,2458125.22294,1.03
6,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/08/2018 11:10,2458126.96583,2.85
7,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/13/2018 16:40,2458132.19452,1.02
8,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/20/2018 15:59,2458139.16609,1.02
9,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/27/2018 15:18,2458146.13766,1.02
10,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,02/03/2018 14:37,2458153.10924,1.02
11,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,02/10/2018 13:56,2458160.08081,1.02
12,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,02/15/2018 19:25,2458165.30950,2.89
13,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,02/17/2018 13:15,2458167.05239,1.03
14,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,02/22/2018 18:44,2458172.28107,2.57
15,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,02/24/2018 12:34,2458174.02396,1.04
16,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/01/2018 18:03,2458179.25265,2.31
17,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/03/2018 11:53,2458180.99554,1.05
18,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/08/2018 17:22,2458186.22422,2.11
19,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/10/2018 11:12,2458187.96711,1.07
20,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/15/2018 16:41,2458193.19579,1.94
21,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/17/2018 10:31,2458194.93869,1.09
22,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/22/2018 16:01,2458200.16737,1.80
23,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,03/29/2018 15:20,2458207.13894,1.68
24,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,04/05/2018 14:39,2458214.11052,1.58
25,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,04/12/2018 13:58,2458221.08209,1.49
26,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,04/19/2018 13:17,2458228.05367,1.42
27,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,04/26/2018 12:36,2458235.02524,1.35
28,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,05/03/2018 11:55,2458241.99682,1.30
29,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,05/10/2018 11:14,2458248.96839,1.25
