# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 04:29:46 2017
#
# CONSTRAINT:  where (MidpointAirmass < 2.
# CONSTRAINT:  )
#
# COLUMN UserName:       User Name
# COLUMN PlanetName:     Planet Name
# COLUMN SourceTable:    Source Table
# COLUMN RA_sex:         RA [sexagesimal]
# COLUMN Dec_sex:        Dec [sexagesimal]
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,PlanetName,SourceTable,RA_sex,Dec_sex,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,12/27/2017 02:58,2458114.62424,1.02
3,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/05/2018 04:17,2458123.67850,1.08
4,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/06/2018 23:44,2458125.48936,1.32
5,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/14/2018 05:35,2458132.73277,1.48
6,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/16/2018 01:02,2458134.54363,1.04
7,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/25/2018 02:20,2458143.59789,1.04
8,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,01/26/2018 21:48,2458145.40875,1.52
9,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/03/2018 03:39,2458152.65216,1.29
10,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/04/2018 23:06,2458154.46302,1.10
12,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/14/2018 00:24,2458163.51728,1.02
13,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/15/2018 19:52,2458165.32814,1.85
14,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/23/2018 01:43,2458172.57155,1.17
15,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,02/24/2018 21:10,2458174.38241,1.18
16,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/04/2018 03:01,2458181.62582,1.78
17,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/05/2018 22:28,2458183.43667,1.02
18,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/14/2018 23:46,2458192.49094,1.09
19,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/24/2018 01:05,2458201.54521,1.48
20,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,03/25/2018 20:32,2458203.35606,1.04
21,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,04/03/2018 21:50,2458212.41033,1.04
22,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,04/12/2018 23:09,2458221.46460,1.29
24,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,05/02/2018 21:12,2458241.38399,1.17
25,,Custom: EPIC211915147,,08h39m09.30s,18d57m06.73s,0.00,1.810853600,2.3012,,Transit Midpoint,0.000000,05/11/2018 22:31,2458250.43826,1.79
