# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 19 04:32:21 2017
#
# CONSTRAINT:  where (MidpointAirmass < 2.
# CONSTRAINT:  )
#
# COLUMN UserName:       User Name
# COLUMN PlanetName:     Planet Name
# COLUMN SourceTable:    Source Table
# COLUMN RA_sex:         RA [sexagesimal]
# COLUMN Dec_sex:        Dec [sexagesimal]
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,PlanetName,SourceTable,RA_sex,Dec_sex,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/20/2017 07:03,2458107.79400,1.38
2,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/22/2017 00:53,2458109.53690,1.27
3,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/27/2017 06:22,2458114.76558,1.32
4,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,12/29/2017 00:12,2458116.50847,1.33
5,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/03/2018 05:41,2458121.73715,1.26
6,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/04/2018 23:31,2458123.48005,1.39
7,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/10/2018 05:00,2458128.70873,1.22
8,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/11/2018 22:50,2458130.45162,1.46
9,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/17/2018 04:19,2458135.68030,1.18
10,,Custom: EPIC212164470,,08h39m15.27s,23d21m26.93s,0.00,1.742893700,2.1342,,Transit Midpoint,0.000000,01/18/2018 22:09,2458137.42320,1.55
