epic,t0 (-2454900),Period [d],Depth (absol),Durat. [hr],kepmag
211413752,2241.511433,2.1510806000000002,0.00039610000000000003,2.2180942999999997,13.539000000000001
211413752,2240.855114,9.324999400000001,0.0008722999999999999,2.7754585,13.539000000000001
211432167,2236.112337,5.817702400000001,0.0118,2.9,8.55
211490999,2246.324732,9.8444307,0.0013135999999999998,3.4213612999999996,13.415999999999999
211529065,2242.974807,4.4000743,0.0012104000000000001,1.5209201,13.431
211537406,2255.341522,19.4363824,0.0011185000000000001,4.5872482,14.565
211606790,2250.089959,37.2481534,0.0068893999999999995,3.1765529,12.673
211816003,2244.869923,14.4484423,0.0011276,3.4076801,13.654000000000002
211886472,2252.378884,19.640668100000003,0.0092,1.34,11.126
211915147,2240.385129,1.8108536,0.032651,2.3011603,9.023
211919004,2249.089004,11.7200014,0.0010012,4.338904599999999,13.130999999999998
211924657,2242.003445,2.6442718,0.0032,1.3,15.030999999999999
211945201,2258.822343,19.488872,0.0018517,3.6245738,10.115
212069861,2247.48692,30.956699,0.0018268000000000002,3.6361898999999998,14.102
212099230,2241.960616,7.112524099999999,0.0011,2.79,10.513
212110007,2244.683928,16.7094974,0.0751,1.71,14.245
212110888,2241.351155,2.995637,0.0083,1.96,11.440999999999999
212164470,2244.85278,7.811285499999999,0.0005,2.72,12.704
212164470,2240.487721,1.7428936999999998,0.00015780000000000001,2.1341569,12.704
212154564,2242.180798,6.4134975999999995,0.0071,1.6197290000000002,15.105
211733267,2244.931055,8.6583916,0.0079,1.1114393,12.15
211408138,2260.053301,10.3389474,0.056,6.1296382000000005,12.74
212011230,,,,,12.375
