,flux
2228.80054064,30505430.5801
2228.82097324,30495433.4124
2228.84140574,30485944.7377
2228.86183823,30466650.386
2228.88227073,30441326.032
2228.90270322,30420043.0294
2228.92313572,30399079.232
2228.94356821,30379818.4886
2228.9640006,30358495.5304
2228.9844332,30347818.5587
2229.00486569,30334027.6385
2229.02529808,30320577.4402
2229.04573067,30312962.8105
2229.06616316,30307742.1946
2229.08659555,30304284.3977
2229.10702814,30307675.9229
2229.12746063,30311411.0269
2229.14789321,30311992.7083
2229.1683256,30320009.9869
2229.18875809,30332565.5049
2229.20919067,30340295.2079
2229.22962306,30349017.1899
2229.25005554,30354068.1303
2229.27048812,30370155.469
2229.29092051,30365046.639
2229.31135299,30368559.4241
2229.33178557,30365144.4268
2229.35221805,30360140.3781
2229.37265053,30351120.6253
2229.39308301,30335203.7743
2229.41351549,30322697.7691
2229.43394797,30310325.4377
2229.45438045,30331554.0154
2229.47481293,30299031.9974
2229.4952455,30304916.1413
2229.51567788,30302869.4359
2229.53611036,30308774.1822
2229.55654293,30308605.964
2229.57697531,30308117.9463
2229.59740778,30311629.0313
2229.61784025,30316452.5264
2229.63827272,30320555.6508
2229.6587051,30321884.9845
2229.67913767,30321857.4309
2229.69957014,30322961.2237
2229.72000271,30321502.5584
2229.74043508,30318109.5342
2229.76086755,30309541.4924
2229.78130012,30300665.2464
2229.80173248,30293441.6245
2229.82216495,30291580.1239
2229.84259752,30285473.7643
2229.86302998,30282150.7851
2229.88346235,30300901.9863
2229.90389491,30281116.3628
2229.92432738,30278066.0615
2229.94475974,30276165.9327
2229.9651923,30279175.7637
2229.98562476,30279354.6287
2230.00605712,30276238.7832
2230.02648969,30276476.8616
2230.04692215,30282753.8041
2230.0673547,30284030.845
2230.08778706,30289365.9862
2230.10821952,30312205.6596
2230.12865208,30289743.787
2230.14908444,30295272.3344
2230.16951689,30298631.2596
2230.18994945,30252236.7855
2230.2103818,30290713.4589
2230.23081426,30294419.9639
2230.25124681,30287676.3922
2230.27167917,30284697.7489
2230.29211162,30287727.7542
2230.31254417,30286246.6525
2230.33297652,30280578.4715
2230.35340897,30277177.9773
2230.37384152,30276827.4074
2230.39427387,30274360.1849
2230.41470632,30273771.9218
2230.43513887,30269571.5063
2230.45557122,30264815.7707
2230.47600377,30266339.9259
2230.49643621,30269449.8362
2230.51686856,30263960.2769
2230.5373011,30262302.194
2230.55773355,30264266.8758
2230.57816589,30269314.3768
2230.59859844,30269665.0529
2230.61903088,30273208.5936
2230.63946322,30277015.5088
2230.65989576,30276109.9318
2230.6803282,30288012.6721
2230.70076064,
2230.72119309,30264333.3843
2230.74162552,30263126.5844
2230.76205796,30263180.4155
2230.7824904,30259894.3792
2230.80292284,30267464.4123
2230.82335528,30255023.3782
2230.84378781,30260232.6466
2230.86422015,30250898.1572
2230.88465258,30252727.5021
2230.90508512,30251165.2859
2230.92551745,30252221.1466
2230.94594998,30253004.3781
2230.96638242,30254887.9677
2230.98681475,30255753.1029
2231.00724728,30253990.4985
2231.02767971,30252364.0228
2231.04811204,30256282.7545
2231.06854457,30257973.6248
2231.088977,30259806.0244
2231.10940933,30256870.4404
2231.12984185,30254257.836
2231.15027418,30256525.2407
2231.17070661,30259424.3676
2231.19113913,30260724.2919
2231.21157156,30259279.2533
2231.23200388,30269427.1591
2231.25243641,30265905.383
2231.27286883,30271320.1229
2231.29330115,30262199.7125
2231.31373368,30261224.1774
2231.3341661,30261198.4389
2231.35459842,30261058.0066
2231.37503094,30260884.5892
2231.39546336,30262273.6007
2231.41589568,30260685.1168
2231.4363282,30264165.5255
2231.45676061,30257084.5269
2231.47719313,30253573.34
2231.49762545,30251898.4325
2231.51805786,30248035.3675
2231.53849038,30253205.4609
2231.55892269,30253275.1916
2231.57935511,30253607.7017
2231.59978762,30250911.7765
2231.62021994,30255347.4586
2231.64065235,30270750.1635
2231.66108486,30275911.2456
2231.68151727,30252866.5565
2231.70194958,30247675.064
2231.72238209,30251805.1486
2231.7428145,30252269.2345
2231.76324681,30251106.0112
2231.78367932,30249952.9432
2231.80411173,30253801.7412
2231.82454403,30252990.7253
2231.84497654,30252802.9698
2231.86540885,30251131.7808
2231.88584125,30246436.9899
2231.90627376,30252091.906
2231.92670606,30240457.6067
2231.94713846,30240396.6389
2231.96757097,30242965.1385
2231.98800327,30244502.6041
2232.00843567,30243448.8516
2232.02886817,30245030.3243
2232.04930057,30250398.4705
2232.06973297,30257696.9298
2232.09016537,30255861.0657
2232.11059777,30258189.1181
2232.13103017,30270859.3332
2232.15146256,30295464.223
2232.17189496,30268835.8782
2232.19232736,30265533.3393
2232.21275975,30263741.8941
2232.23319215,30259466.2047
2232.25362464,30259326.0439
2232.27405694,30262096.44
2232.29448933,30259772.4414
2232.31492182,30253313.8435
2232.33535411,30251805.5762
2232.35578651,30250909.0344
2232.376219,30252901.9252
2232.39665129,30265054.5744
2232.41708368,30256390.117
2232.43751617,30255378.1106
2232.45794845,30268825.672
2232.47838084,30262720.854
2232.49881333,30264055.9698
2232.51924572,30264987.6627
2232.539678,30261073.6035
2232.56011039,30262493.4762
2232.58054277,30259897.0498
2232.60097516,30258635.6359
2232.62140764,30256954.2934
2232.64183992,30247950.5704
2232.66227231,
2232.68270479,30258111.4607
2232.70313707,30257626.8349
2232.72356945,30255302.1034
2232.74400193,30260736.0956
2232.76443421,30265621.9101
2232.78486659,30266838.9951
2232.80529907,30264735.9372
2232.82573134,30259753.7332
2232.84616382,30255483.3841
2232.8665962,30253327.8774
2232.88702857,30259897.8119
2232.90746095,30259797.0836
2232.92789332,30260193.0029
2232.9483257,30256615.2213
2232.96875807,30253398.4274
2232.98919044,30254763.9486
2233.00962282,30252458.8752
2233.03005519,30251229.4522
2233.05048756,30255075.2986
2233.07091993,30252976.2372
2233.0913524,30256453.3524
2233.11178467,30256099.0505
2233.13221704,30267770.5364
2233.15264951,30263112.3826
2233.17308177,30274814.4338
2233.19351414,30263269.4637
2233.21394661,30261958.9712
2233.23437887,30260288.3343
2233.25481124,30260289.1172
2233.2752436,30264377.6746
2233.29567597,30263831.5133
2233.31610833,30259848.0035
2233.33654069,30254129.2073
2233.35697306,30252011.7816
2233.37740542,30274310.4144
2233.39783778,30250426.7913
2233.41827014,30243518.5939
2233.4387025,30242573.7225
2233.45913496,30241080.0362
2233.47956722,30242256.6007
2233.49999957,30247713.8379
2233.52043203,30245201.1144
2233.54086429,30244760.0964
2233.56129665,30249516.309
2233.5817291,30251755.2481
2233.60216136,30252493.7918
2233.62259381,30276510.6157
2233.64302617,30263167.2735
2233.66345842,30257090.1677
2233.68389087,30256062.7639
2233.70432322,30257594.6928
2233.72475558,30258308.4421
2233.74518793,30256155.4546
2233.76562028,30253235.278
2233.78605263,30250268.5425
2233.80648498,30250491.189
2233.82691733,30254171.3931
2233.84734967,30258621.3716
2233.86778202,30276149.7632
2233.88821437,30252543.9081
2233.90864671,30255943.0102
2233.92907916,30261072.5602
2233.94951141,30272740.8434
2233.96994375,30264061.6525
2233.99037609,30266664.0155
2234.01080844,30264069.1601
2234.03124078,30260539.567
2234.05167312,30262381.6446
2234.07210546,30263043.067
2234.09253781,30262181.5393
2234.11297015,30260999.7197
2234.13340249,30257580.342
2234.15383483,30251758.5406
2234.17426716,30251438.9049
2234.1946995,30251909.1243
2234.21513184,30246907.3991
2234.23556418,30243795.2983
2234.25599651,30239635.0998
2234.27642885,30239641.8319
2234.29686128,30243520.0208
2234.31729352,30243626.7697
2234.33772585,30244182.1661
2234.35815829,30272096.2239
2234.37859052,30264507.6983
2234.39902285,30247180.088
2234.41945528,30250701.9308
2234.43988751,30256415.8273
2234.46031995,30258043.7502
2234.48075228,30255772.6568
2234.5011845,30257038.4023
2234.52161693,30254052.8002
2234.54204926,30252996.6918
2234.56248159,30250943.1179
2234.58291392,30252100.0043
2234.60334624,30249999.042
2234.62377857,
2234.64421089,30255485.819
2234.66464322,30258973.2723
2234.68507554,30260421.3492
2234.70550787,30257926.5314
2234.72594019,30259395.1328
2234.74637251,30258413.1398
2234.76680484,30254441.8608
2234.78723716,30254059.7803
2234.80766948,30251435.6236
2234.8281018,30248948.4595
2234.84853412,30247518.0423
2234.86896634,30247172.5421
2234.88939875,30247544.707
2234.90983107,30244535.4199
2234.93026329,30244104.428
2234.95069571,30240973.0637
2234.97112802,30241652.3951
2234.99156034,30244842.9814
2235.01199265,30249317.4201
2235.03242497,30253562.2814
2235.05285728,30252632.1916
2235.07328959,30252424.1633
2235.09372191,30251500.766
2235.11415422,30256946.203
2235.13458663,30253634.4989
2235.15501884,30255216.3005
2235.17545115,30282231.9263
2235.19588356,30258143.7851
2235.21631577,30254674.4849
2235.23674808,30256867.8722
2235.25718049,30263361.133
2235.2776127,30264734.5621
2235.2980451,30260936.5044
2235.31847741,30261558.7289
2235.33890961,30262350.1205
2235.35934202,30265871.9209
2235.37977432,30267748.9632
2235.40020663,30266351.5381
2235.42063893,30267046.8257
2235.44107123,30265888.0072
2235.46150354,30262483.7339
2235.48193584,30262416.7819
2235.50236814,30263606.5623
2235.52280044,30258287.9946
2235.54323274,30257063.2608
2235.56366504,30254443.4486
2235.58409734,30245417.644
2235.60452964,30241924.6285
2235.62496194,30237562.4819
2235.64539413,30237228.9282
2235.66582653,30240641.1206
2235.68625882,30244452.9682
2235.70669102,30249020.4185
2235.72712342,30246486.9958
2235.74755571,30248186.7167
2235.7679879,30250021.5003
2235.7884203,30263750.1138
2235.80885259,30248002.7015
2235.82928488,30253960.6612
2235.84971717,30248922.3303
2235.87014946,30250680.0515
2235.89058175,30252511.6809
2235.91101404,30252396.1621
2235.93144633,30252640.7136
2235.95187862,30251035.6156
2235.97231101,30251810.6263
2235.9927432,30254005.5336
2236.01317548,30262940.6967
2236.03360787,30262017.7853
2236.05404006,30261252.5456
2236.07447244,30260610.0442
2236.09490473,30263536.2719
2236.11533691,30265248.2594
2236.13576929,30267068.3111
2236.15620158,30268499.8713
