,pl_hostname,st_optmag,pl_radj,pl_bmassj,pl_def_refname,pl_disc_refname,pl_pelink
2803,HD 219134,5.57,0.144,0.05088,Gillon et al. 2017,Motalebi et al. 2015,http://exoplanet.eu/catalog/hd_219134_d/
2802,HD 219134,5.57,0.135,0.01372,Gillon et al. 2017,Motalebi et al. 2015,http://exoplanet.eu/catalog/hd_219134_c/
2801,HD 219134,5.57,0.143,0.01491,Gillon et al. 2017,Motalebi et al. 2015,http://exoplanet.eu/catalog/hd_219134_b/
313,HN Peg,5.95,1.051,21.9987,Luhman et al. 2007,Luhman et al. 2007,http://exoplanet.eu/catalog/hn_peg_b/
128,HR 8799,5.953,1.2,10,Marois et al. 2008,Marois et al. 2008,http://exoplanet.eu/catalog/hr_8799_c/
3133,HR 8799,5.953,1.2,10,Marois et al. 2008,Marois et al. 2008,http://exoplanet.eu/catalog/hr_8799_d/
127,HR 8799,5.953,1.2,7,Marois et al. 2008,Marois et al. 2008,http://exoplanet.eu/catalog/hr_8799_b/
303,55 Cnc,5.96,0.17,0.02542,Demory et al. 2016,McArthur et al. 2004,http://exoplanet.eu/catalog/55_cnc_e/
3399,HR 2562,6.11,1.11,30,Konopacky et al. 2016,Konopacky et al. 2016,http://exoplanet.eu/catalog/hr_2562_b/
3493,HIP 65426,6.982,1.5,9,Chauvin et al. 2017,Chauvin et al. 2017,http://exoplanet.eu/catalog/hip_65426/
1213,HD 114762,7.301,1.11,10.98,Kane et al. 2011,Latham et al. 1989,http://exoplanet.eu/catalog/hd_114762_b/
51,HD 97658,7.71,0.209,0.02473,Dragomir et al. 2013,Howard et al. 2011,http://exoplanet.eu/catalog/hd_97658_b/
3489,KELT-11,8.037,1.37,0.195,Pepper et al. 2017,Pepper et al. 2017,http://exoplanet.eu/catalog/kelt-11_b/
1771,WASP-33,8.142,1.497,4.1,Collier Cameron et al. 2010,Collier Cameron et al. 2010,http://exoplanet.eu/catalog/wasp-33_b/
1316,HD 149026,8.15,0.813,0.368,Carter et al. 2009,Sato et al. 2005,http://exoplanet.eu/catalog/hd_149026_b/
1279,HD 17156,8.172,1.02,3.22,Barbieri et al. 2009,Fischer et al. 2007,http://exoplanet.eu/catalog/hd_17156_b/
95,Kepler-21,8.25,0.146,0.01598,Lopez-Morales et al. 2016,Howell et al. 2011,http://exoplanet.eu/catalog/kepler-21_b/
2824,KELT-7,8.54,1.533,1.28,Bieryla et al. 2015,Bieryla et al. 2015,http://exoplanet.eu/catalog/kelt-7_b/
131,KELT-2 A,8.713,1.286,1.522,Beatty et al. 2012,Beatty et al. 2012,http://exoplanet.eu/catalog/kelt-2a_b/
3395,HD 3167,8.94,0.269,0.03083,Christiansen et al. 2017,Vanderburg et al. 2016,http://exoplanet.eu/catalog/hd_3167_c/
3394,HD 3167,8.94,0.152,0.01579,Christiansen et al. 2017,Vanderburg et al. 2016,http://exoplanet.eu/catalog/hd_3167_b/
3118,HD 80606,9.001,0.98,3.94,Pont et al. 2009,Naef et al. 2001,http://exoplanet.eu/catalog/hd_80606_b/
3400,KELT-17,9.286,1.525,1.31,Zhou et al. 2016,Zhou et al. 2016,http://exoplanet.eu/catalog/kelt-17_b/
2060,WASP-18,9.303,1.165,10.43,Hellier et al. 2009,Hellier et al. 2009,http://exoplanet.eu/catalog/wasp-18_b/
3028,HD 63454,9.37,1.098,0.398,Kane et al. 2011,Moutou et al. 2005,http://exoplanet.eu/catalog/hd_63454_b/
2105,WASP-38,9.447,1.094,2.691,Barros et al. 2010,Barros et al. 2010,http://exoplanet.eu/catalog/wasp-38_b/
135,HAT-P-11,9.472,0.422,0.081,Bakos et al. 2010,Bakos et al. 2010,http://exoplanet.eu/catalog/hat-p-11_b/
