pl_hostname,pl_letter,pl_discmethod,pl_disc,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_radjerr1,pl_radjerr2,pl_dens,pl_trandep,pl_instrument,pl_insol,pl_eqt,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbpererr1,pl_orbpererr2,st_optmag,ra,dec,st_dist,st_teff,st_mass,st_rad,st_plx,gaia_plx,gaia_dist,st_pm,gaia_pm,st_radv,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_age,st_acts,st_bmvj,st_jmh2,pl_instrument,pl_telescope,rowupdate,st_nplc,pl_def_refname,pl_disc_refname,pl_pelink,st_j,st_h,st_k
Kepler-178,b,Transit,2014,3,9.57669400,0.085000,,,,0.259,0.112,-0.112,,,Kepler CCD Array,,,,,,,0.00002100,-0.00002100,14.598,287.101089,46.896477,,5676.00,,1.07,,,,,,,,4.33,,,-0.188,,,,0.313,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-178_b/,13.280,12.967,12.899
Kepler-166,c,Transit,2014,3,34.26028100,0.195000,,,,0.212,0.110,-0.110,,,Kepler CCD Array,,,,,,,0.00012400,-0.00012400,14.701,293.160171,48.881191,,5413.00,,0.74,,,,,,,,4.62,,,-0.286,,,,0.405,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-166_c/,13.346,12.941,12.876
Kepler-167,b,Transit,2014,4,4.39316320,0.048300,0.000000,89.330,,0.144,0.004,-0.004,,,Kepler CCD Array,115.80,914,,,,,0.00000460,-0.00000450,14.023,292.658441,38.345413,330.00,4890.00,0.77,0.73,,,,46.200,,-29.30,K4,4.61,-0.570,2.8800,-0.030,3.300,,,0.472,Kepler CCD Array,0.95 m Kepler Telescope,2016-03-10,0,Kipping et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-167_b/,12.446,11.974,11.832
Kepler-167,c,Transit,2014,4,7.40611400,0.068400,0.000000,89.300,,0.138,0.004,-0.004,,,Kepler CCD Array,57.70,768,,,,,0.00001200,-0.00001100,14.023,292.658441,38.345413,330.00,4890.00,0.77,0.73,,,,46.200,,-29.30,K4,4.61,-0.570,2.8800,-0.030,3.300,,,0.472,Kepler CCD Array,0.95 m Kepler Telescope,2016-03-10,0,Kipping et al. 2016,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-167_c/,12.446,11.974,11.832
Kepler-168,b,Transit,2014,2,4.42539100,0.056000,,,,0.130,0.059,-0.059,,,Kepler CCD Array,,,,,,,0.00003300,-0.00003300,14.606,294.710165,39.825104,,6282.00,,1.11,,,,54.900,,,,4.42,,,-0.012,,,,0.233,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-168_b/,13.490,13.257,13.206
Kepler-169,b,Transit,2014,5,3.25061900,0.040000,,,,0.101,0.007,-0.007,,,Kepler CCD Array,,,,,,,0.00001300,-0.00001300,14.194,285.999891,40.919329,,4997.00,0.86,0.76,,,,14.400,,,,4.58,,,0.238,,,,0.446,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-169_b/,12.729,12.283,12.186
Kepler-169,c,Transit,2014,5,6.19546900,0.062000,,,,0.108,0.007,-0.007,,,Kepler CCD Array,,,,,,,0.00002900,-0.00002900,14.194,285.999891,40.919329,,4997.00,0.86,0.76,,,,14.400,,,,4.58,,,0.238,,,,0.446,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-169_c/,12.729,12.283,12.186
Kepler-169,d,Transit,2014,5,8.34812500,0.075000,,,,0.112,0.008,-0.008,,,Kepler CCD Array,,,,,,,0.00004100,-0.00004100,14.194,285.999891,40.919329,,4997.00,0.86,0.76,,,,14.400,,,,4.58,,,0.238,,,,0.446,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-169_d/,12.729,12.283,12.186
Kepler-169,f,Transit,2014,5,87.09019500,0.359000,,,,0.230,0.021,-0.021,,,Kepler CCD Array,,,,,,,0.00040600,-0.00040600,14.194,285.999891,40.919329,,4997.00,0.86,0.76,,,,14.400,,,,4.58,,,0.238,,,,0.446,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-169_f/,12.729,12.283,12.186
Kepler-170,b,Transit,2014,2,7.93059200,0.080000,,,,0.285,0.020,-0.020,,,Kepler CCD Array,,,,,,,0.00001400,-0.00001400,14.387,284.521193,41.629604,,5679.00,,1.03,,,,,,,,4.45,,,0.234,,,,0.370,Kepler CCD Array,0.95 m Kepler Telescope,2014-05-14,0,Rowe et al. 2014,Rowe et al. 2014,http://exoplanet.eu/catalog/kepler-170_b/,13.143,12.773,12.677
